id,title,type,district_n
35557,Aahal Dada Urban Health Center  UHC,Primary Health Care Center,Dhading
35558,Bhorle Urban Health Clinic,Primary Health Care Center,Dhading
35559,Ratamate Community Health Unit CHU,Primary Health Care Center,Dhading
35560,Hanuman Dada Community Health Unit,Primary Health Care Center,Dhading
35561,Ward No.2 Basic Health Center,Primary Health Care Center,Dhading
35562,Ward No.4 Basic Health Center,Primary Health Care Center,Dhading
35563,Ward No.7 Basic Health Center,Primary Health Care Center,Dhading
35564,Ward No.8 Basic Health Center,Primary Health Care Center,Dhading
35565,Ward No.12 Basic Health Center,Primary Health Care Center,Dhading
35566,Maternal and Child Health Clinic,MCH Clinic,Dhading
35567,Sahid Memorial Hospital,Hospital,Dhading
35568,Dhading Hospital,Hospital,Dhading
52251,Parshant Pharmacy,Pharmacy,Dhading
52252,Jogimara Health Post,Community Health Unit,Dhading
52253,Bihani Clinic and Pharmacy Private Limited,,26
52254,Basic Health Care Center,,26
52255,Bhadrakali Kandel Eye Care Center,,26
52256,Aryana Pharma,,26
52257,Benighat Health Post,Health Post,Dhading
52258,Pashupati Medical Hall,Pharmacy,Dhading
52259,Highway Community Hospital,,26
52260,Highway Daigonosis Center,Pharmacy,Dhading
52261,Basic Health Care Center,,26
52262,Jaipuri Community Health Unit,Community Health Unit,Dhading
52263,Dhusa Health Post,Health Post,Dhading
52264,Syadul Community Health Unit,Community Health Unit,Dhading
52265,Irang Community Health Unit,Community Health Unit,Dhading
52266,Mahadevsthan Health Post,Health Post,Dhading
52267,Adharbhut Health Service  Center,,26
55258,Dadagau Community Health Unit,Basic Health Service Centre,Dhading
55259,Baseri Health Post,Basic Health Service Centre,Dhading
55260,Budathum Health Post,Basic Health Service Centre,Dhading
55261,Aginchok Hp,Basic Health Service Centre,Dhading
55262,Chainpur (Salbas) Hp Dhading,Basic Health Service Centre,Dhading
55263,Baireni Aayurved Dispensery,Basic Ayurveda Service Centre,Dhading
55264,Baireni Hospital,Basic Hospital (5 to 15 beds),Dhading
55265,Bhumesthan Health Post,Basic Health Service Centre,Dhading
62015,Goganpani Basic Health Service Center (Health Post),Basic Health Service Centre,Dhading
62016,Kalleri Basic Health Service Center (Health Post),Basic Health Service Centre,Dhading
62017,Dumrichaur Basic Health Service Center,Basic Health Service Centre,Dhading
62018,Aamdanda Basic Health Service Center,Basic Health Service Centre,Dhading
62019,Karkidanda Basic Health Service Center,Basic Health Service Centre,Dhading
62023,Birtadada  Basic Health Service Center,Basic Health Service Centre,Dhading
62024,Bhotepalang Basic Health Service Center,Basic Health Service Centre,Dhading
62100,Netrawati Dabjong Hospital,Basic Hospital (5 to 15 beds),Dhading
62127,Jeewanpur Hp_Dhading,Basic Health Service Centre,Dhading
62142,Kapurgaun Community Health Unit,Basic Health Service Centre,Dhading
62143,Lapa Health Post,Basic Health Service Centre,Dhading
62144,Rubi Valley Basic Hospital,Basic Hospital (5 to 15 beds),Dhading
62145,Tipling Health Post,Basic Health Service Centre,Dhading
62146,Lapsangkarpo Basic Health Service Center,Basic Health Service Centre,Dhading
62147,Borang Basic Health Service Center,Basic Health Service Centre,Dhading
62148,Khading Basic Health Center,Basic Health Service Centre,Dhading
62166,Ranipauwa Basic Health Centre,Basic Health Service Centre,Dhading
62167,Katheri  Basic Health Service Centre,Basic Health Service Centre,Dhading
62199,Chhatre Deurali  Hp_Dhading,Basic Health Service Centre,Dhading
62200,Naubise Hp_Dhading,Basic Health Service Centre,Dhading
62201,Basic Health Service Center 1,Basic Health Service Centre,Dhading
62202,Basic Health Service Center 3,Basic Health Service Centre,Dhading
62203,Basic Health Service Center 5,Basic Health Service Centre,Dhading
62204,Basic Health Service Center 6,Basic Health Service Centre,Dhading
62205,Basic Health Service Center 9,Basic Health Service Centre,Dhading
62206,Basic Health Service Center 8,Basic Health Service Centre,Dhading
62256,Mulpani Hp,Basic Health Service Centre,Dhading
62257,Salyankot Hp,Basic Health Service Centre,Dhading
62258,Tripureswor Hp,Basic Health Service Centre,Dhading
62259,Salyantar Rural Hospital,Basic Hospital (5 to 15 beds),Dhading
62297,Deurali Community Health Unit,Basic Health Service Centre,Dhading
62298,Nagarik Aarogya Sewa Kendra,Basic Ayurveda Service Centre,Dhading
62299,Jwalamukhi Rural Eye Center,Basic Health Service Centre,Dhading
64436,Khaniyabas Gramin Hospital,Basic Hospital (5 to 15 beds),Dhading
64437,Jharlang Hp,Health Post,Dhading
64438,"Pipaltar Community Health Unit, Jwalamukhi-1, Pipaltar",Basic Health Service Centre,Dhading
64439,Dhola Hp Dhading,Basic Health Service Centre,Dhading
64440,Khari Hp Dhading,Basic Health Service Centre,Dhading
64441,Maidi Hp Dhading,Basic Health Service Centre,Dhading
64442,Kumpur Hp,Basic Health Service Centre,Dhading
64443,Kiranchok Hp,Basic Health Service Centre,Dhading
64444,Pida Hp,Basic Health Service Centre,Dhading
64445,Gajuri Phc,Basic Health Service Centre,Dhading
64446,Gajuri Hospital,Basic Hospital (5 to 15 beds),Dhading
65242,Ongul Bhsc,Basic Health Service Centre,Dhading
65535,"Ratmata Community Health Unit Jwalamukhi 1, Dhading",Basic Health Service Centre,Dhading
65536,"Deurali Community Health Unit Jwalamukhi 7, Dhading",Basic Health Service Centre,Dhading
66020,Kumaltari Chu Dhading,Basic Health Service Centre,Dhading
66021,"Kolvadanda Bhsc Jwalamukhi-7, Dhading",Basic Health Service Centre,Dhading
66199,Bal Devi Bhsc,Basic Health Service Centre,Dhading
66203,Salang Ghat Bhsc,Basic Health Service Centre,Dhading
66204,Aadamtar Bhsc,Basic Health Service Centre,Dhading
66205,Bag Bachhalaa Bhsc,Basic Health Service Centre,Dhading
66206,Jalpaa Bhsc,Basic Health Service Centre,Dhading
66207,Basic Health Service Centre -2,Basic Health Service Centre,Dhading
66208,Basic Health Service Centre -3,Basic Health Service Centre,Dhading
66209,Malekhu Teaching Hospital,Basic Hospital (5 to 15 beds),Dhading
66210,Basic Health Service Centre -4,Basic Health Service Centre,Dhading
66211,Basic Health Service Centre -7,Basic Health Service Centre,Dhading
66212,Basic Health Service Centre -6,Basic Health Service Centre,Dhading
66215,Kalika Bhsc,Basic Health Service Centre,Dhading
66979,Chisapani   Basic Health Service Centre,Basic Health Service Centre,Dhading
